time_min,latitude_deg,longitude_deg,altitude_km,B_total_μT
0,50.753886567516716,169.0122842368429,408.0,31679.192686462655
10,50.753868199382154,169.01241305762522,408.0,31679.144033276196
20,50.75380694162936,169.01284266660375,408.0,31678.98177750479
30,50.75379229368976,169.01294539257168,408.0,31678.94297957862
40,50.753740848232546,169.01330617381208,408.0,31678.806718022337
50,50.75370465107917,169.01356001484808,408.0,31678.710845791604
60,50.75366928862668,169.01380799782024,408.0,31678.617185779847
70,50.75363354466756,169.01405865170548,408.0,31678.522516715162
80,50.75360412872748,169.01426492709865,408.0,31678.44460867714
90,50.75357428706422,169.0144741848599,408.0,31678.365574043964
100,50.75354355170432,169.01468970608906,408.0,31678.284173542575
110,50.753512669553935,169.0149062532583,408.0,31678.202385336368
120,50.75349315540502,169.01504308575787,408.0,31678.15070464365
130,50.75344891139524,169.01535331806534,408.0,31678.03353171206
140,50.75340495922629,169.0156614973119,408.0,31677.91713378273
150,50.75337567196874,169.0158668468883,408.0,31677.839573921538
160,50.753313916771944,169.01629983778398,408.0,31677.676034055596
170,50.753299133608294,169.0164034865237,408.0,31677.636885984666
180,50.75325507592092,169.01671238246607,408.0,31677.520215885375
190,50.75321888536806,169.01696611554678,408.0,31677.42438049654
200,50.75318915630627,169.01717454336597,408.0,31677.34565674896
210,50.75315809301222,169.0173923221903,408.0,31677.263400901273
220,50.75314336710535,169.0174955615297,408.0,31677.224406954963
230,50.753094910798396,169.01783526998898,408.0,31677.096097237896
240,50.75306387558856,169.01805284163777,408.0,31677.01391898529
250,50.75302659741875,169.0183141749968,408.0,31676.915211363856
260,50.752992103277,169.01855598685088,408.0,31676.823876878054
270,50.75295530800041,169.0188139255793,408.0,31676.726450834587
280,50.752925780078115,169.0190209160787,408.0,31676.648268238583
290,50.7528957537144,169.01923139745443,408.0,31676.568766895478
300,50.75286599102793,169.01944002727285,408.0,31676.48996470162
310,50.75285127778309,169.0195431627836,408.0,31676.451009012308
320,50.75282170476788,169.01975045851634,408.0,31676.372710432355
330,50.75279013785047,169.01997172750072,408.0,31676.289133749182
340,50.752760021890296,169.02018282256137,408.0,31676.209399692914
350,50.7527289674953,169.02040049218743,408.0,31676.127182105392
360,50.75270840580095,169.0205446135028,408.0,31676.072744874542
370,50.75267159096653,169.0208026527638,408.0,31675.975278529408
380,50.7526567738737,169.0209065061073,408.0,31675.936051060435
390,50.75262728598257,169.02111318511024,408.0,31675.85798415216
400,50.752583229778075,169.02142196680336,408.0,31675.74135058597
410,50.75253722265409,169.02174441506915,408.0,31675.619554411755
420,50.7525076015313,169.02195201538987,408.0,31675.541138705365
430,50.75247828784325,169.02215745801058,408.0,31675.46353782127
440,50.75243109156013,169.02248822315477,408.0,31675.33859905124
450,50.75239739388365,169.02272438142384,408.0,31675.24939550548
460,50.752365997079,169.02294441123615,408.0,31675.166283895993
470,50.7523319027909,169.02318334117595,408.0,31675.07603291285
480,50.75230718948437,169.0233565273602,408.0,31675.010615144307
490,50.752274120434905,169.02358826574192,408.0,31674.923080196135
500,50.75225941784857,169.02369129606004,408.0,31674.884162298174
510,50.75222919186486,169.0239031061507,408.0,31674.804154586265
520,50.752182943108565,169.02422719046365,408.0,31674.681736777027
530,50.75215346365528,169.02443376135824,408.0,31674.60370758404
540,50.75211778293484,169.02468378220328,408.0,31674.50926553473
550,50.7520737892912,169.02499204705663,408.0,31674.39282220207
560,50.75204081965162,169.02522306177357,408.0,31674.30555888224
570,50.75199334994638,169.02555567042407,408.0,31674.179919140966
580,50.751963516154746,169.0257647044287,408.0,31674.100958279927
590,50.75193403357927,169.02597127459993,408.0,31674.022927921917
600,50.75190311431677,169.0261879075369,408.0,31673.941096209037
610,50.751864291631,169.02645991054476,408.0,31673.838348519777
620,50.75183073243075,169.02669503159467,408.0,31673.749532507
630,50.751781293552646,169.02704140122015,408.0,31673.61869236237
640,50.75174727814156,169.02727970876842,408.0,31673.528672042066
650,50.75171537355209,169.02750322449793,408.0,31673.44423907517
660,50.751671313324216,169.0278118938029,408.0,31673.32763901128
670,50.75163577125451,169.02806088316171,408.0,31673.233582777237
680,50.75160292689501,169.02829096973963,408.0,31673.14666684953
690,50.751572149284335,169.02850657463816,408.0,31673.065221209115
700,50.751557221998425,169.02861114289647,408.0,31673.02572004702
710,50.75151307098467,169.02892042366764,408.0,31672.908887437054
