time_min,latitude_deg,longitude_deg,altitude_km,B_total_μT
0,-70.31045734640634,-120.07750247108778,705.0,48149.03045154521
10,-70.31034697801314,-120.07766319653712,705.0,48149.061479426535
20,-70.3102376471254,-120.07782240922614,705.0,48149.09221527033
30,-70.31012837242177,-120.07798153843248,705.0,48149.12293499143
40,-70.31007365243148,-120.07806122265873,705.0,48149.138317945275
50,-70.30996437678525,-120.07822035049264,705.0,48149.16903739874
60,-70.30990965669882,-120.07830003351329,705.0,48149.18442011764
70,-70.30980032605059,-120.07845923874353,705.0,48149.21515450823
80,-70.30974566067835,-120.07853884075224,705.0,48149.23052158551
90,-70.30963632983826,-120.0786980435705,705.0,48149.261255506135
100,-70.30952705368061,-120.0788571649862,705.0,48149.29197370879
110,-70.30941296683619,-120.07902328952105,705.0,48149.32404385233
120,-70.30929521730569,-120.07919474533767,705.0,48149.35714319003
130,-70.3092400057849,-120.07927513851001,705.0,48149.37266299184
140,-70.30912799613931,-120.07943823360358,705.0,48149.404148296904
150,-70.3090730015098,-120.07951830945956,705.0,48149.41960684244
160,-70.30896049986902,-120.07968211813113,705.0,48149.451229897735
170,-70.30885051188226,-120.07984226488306,705.0,48149.48214602289
180,-70.30868175896879,-120.08008797220828,705.0,48149.52957949827
190,-70.30851776004302,-120.08032675342372,705.0,48149.575675894055
200,-70.30845954021255,-120.08041152008535,705.0,48149.592039983785
210,-70.30834933314286,-120.08057197756267,705.0,48149.623016079866
220,-70.30829439436815,-120.08065196580196,705.0,48149.63845769683
230,-70.30813017701975,-120.08089105556719,705.0,48149.68461363967
240,-70.30799668075889,-120.08108541436923,705.0,48149.72213433018
250,-70.30785941508545,-120.08128525853027,705.0,48149.76071395078
260,-70.30773001878744,-120.08147364295671,705.0,48149.79708128706
270,-70.30761953830184,-120.08163448649302,705.0,48149.82813188894
280,-70.30756487090348,-120.08171407352305,705.0,48149.843496046145
290,-70.30745553826374,-120.0818732432693,705.0,48149.874223520645
300,-70.30740087076958,-120.08195282909462,705.0,48149.88958744296
310,-70.30729153868901,-120.08211199539757,705.0,48149.92031424643
320,-70.30720926398381,-120.08223177005621,705.0,48149.94343655795
330,-70.30709987611662,-120.08239101436152,705.0,48149.974178416145
340,-70.30704515435345,-120.08247067632007,705.0,48149.989557029505
350,-70.30693199478172,-120.082635408609,705.0,48150.02135832812
360,-70.30681473168003,-120.08280611233299,705.0,48150.054312406355
370,-70.3067594631314,-120.08288656792251,705.0,48150.06984422463
380,-70.30664969255479,-120.08304636200111,705.0,48150.100692201675
390,-70.30654041365729,-120.08320543852663,705.0,48150.13140165354
400,-70.30643107831793,-120.08336459529869,705.0,48150.1621265973
410,-70.30632168878921,-120.08352382920621,705.0,48150.192866427395
420,-70.30615774128752,-120.08376247761686,705.0,48150.238937083
430,-70.30599373943677,-120.08400120115337,705.0,48150.28502223314
440,-70.30580945513489,-120.08426944327927,705.0,48150.336805886436
450,-70.30575117955652,-120.0843542674922,705.0,48150.353181043996
460,-70.30564118854562,-120.08451436579162,705.0,48150.38408772196
470,-70.30558624667789,-120.08459433611411,705.0,48150.39952584437
480,-70.30547663766082,-120.08475387565434,705.0,48150.43032465113
490,-70.3054219705118,-120.08483344487738,705.0,48150.44568533644
500,-70.30531263386493,-120.08499258522853,705.0,48150.47640707722
510,-70.30525796662003,-120.0850721532452,705.0,48150.49176752719
520,-70.30513813346819,-120.08524656830282,705.0,48150.525438015306
530,-70.3050675583273,-120.08534928832142,705.0,48150.54526790952
540,-70.30495587030956,-120.08551184514074,705.0,48150.576649182636
550,-70.30479164709853,-120.08575086126831,705.0,48150.62279076451
560,-70.3046546477833,-120.08595025165819,705.0,48150.66128267326
570,-70.30454520211472,-120.08610953819908,705.0,48150.69203260994
580,-70.30449053291939,-120.08618910265211,705.0,48150.70739236374
590,-70.3043812507482,-120.08634814852867,705.0,48150.7380958364
600,-70.30421402004347,-120.08659152745402,705.0,48150.78507962026
610,-70.30403629335386,-120.08685017715193,705.0,48150.835011384195
620,-70.30387239666013,-120.08708869548727,705.0,48150.881056825994
630,-70.30370461840933,-120.0873328584862,705.0,48150.92819194953
640,-70.30354061075559,-120.08757153007146,705.0,48150.97426696283
650,-70.30343127266093,-120.08773064176403,705.0,48151.00498311229
660,-70.30332193518932,-120.08788975081785,705.0,48151.035698747226
670,-70.30321248645966,-120.08804901984404,705.0,48151.066445264994
680,-70.3031031487325,-120.08820812568493,705.0,48151.09716027291
690,-70.30304853350871,-120.08828759980496,705.0,48151.112502565455
700,-70.30293914152662,-120.0884467819545,705.0,48151.14323229816
710,-70.3028257014138,-120.08861185267394,705.0,48151.1750988069
